Age Group,Gender,Occupation,Action,Adventure,Animation,Children's,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,Top Movie 1,Top Movie 2,Top Movie 3,Top Movie 4,Top Movie 5
45-49,Female,Technician/Engineer,Like,Dislike,Like,Neutral,Neutral,Like,Like,Neutral,Neutral,Dislike,Like,Like,Neutral,Neutral,Like,Dislike,Dislike,Dislike,Die Hard,Mystic River,The Exorcist,The Babadook,Free Solo
Under 18,Male,Tradesman/Craftsman,Like,Like,Like,Like,Like,Neutral,Dislike,Dislike,Neutral,Like,Like,Neutral,Like,Neutral,Like,Like,Like,Like,Gilda,The Incredibles,Inception,Avatar,The Jungle Book
Under 18,Female,Executive/Managerial,Like,Neutral,Neutral,Dislike,Dislike,Like,Neutral,Dislike,Like,Like,Like,Like,Like,Dislike,Like,Like,Neutral,Neutral,The Third Man,Zodiac,The Silence of the Lambs,No Country for Old Men,Fantastic Beasts
35-44,Female,Programmer,Neutral,Neutral,Dislike,Like,Neutral,Neutral,Like,Neutral,Like,Like,Dislike,Like,Dislike,Neutral,Neutral,Neutral,Neutral,Like,Unforgiven,The Hateful Eight,True Grit,The Hobbit,3:10 to Yuma
45-49,Male,Clerical/Admin,Dislike,Neutral,Dislike,Like,Neutral,Like,Neutral,Neutral,Dislike,Like,Dislike,Neutral,Neutral,Dislike,Dislike,Dislike,Neutral,Like,Laura,Touch of Evil,The Hateful Eight,Ice Age,Casino
25-34,Female,Retired,Dislike,Dislike,Like,Neutral,Neutral,Like,Neutral,Like,Like,Dislike,Neutral,Like,Neutral,Like,Like,Like,Like,Dislike,Forrest Gump,Singin' in the Rain,Before Sunrise,Elysium,Stardust
50-55,Male,Scientist,Like,Like,Neutral,Like,Dislike,Like,Neutral,Dislike,Like,Like,Like,Like,Neutral,Like,Like,Like,Like,Like,Into the Woods,The Dark Knight,Willow,Bolt,Chicago
50-55,Male,Programmer,Neutral,Neutral,Like,Neutral,Dislike,Like,Dislike,Like,Neutral,Like,Like,Like,Dislike,Like,Neutral,Neutral,Dislike,Like,Forrest Gump,The Ring,Sunset Boulevard,It,Before Sunrise
50-55,Male,Scientist,Dislike,Like,Like,Neutral,Dislike,Neutral,Dislike,Dislike,Like,Like,Neutral,Like,Like,Neutral,Like,Like,Like,Neutral,Knives Out,The Silence of the Lambs,The Lion King,Up,Full Metal Jacket
25-34,Female,Homemaker,Dislike,Like,Like,Dislike,Neutral,Like,Dislike,Like,Like,Neutral,Dislike,Like,Like,Neutral,Dislike,Neutral,Like,Neutral,Into the Woods,Pulp Fiction,The Chronicles of Narnia,Finding Nemo,No Country for Old Men
25-34,Female,Doctor/Health Care,Like,Like,Neutral,Neutral,Like,Like,Dislike,Neutral,Neutral,Like,Dislike,Like,Neutral,Like,Like,Neutral,Neutral,Like,La La Land,The Greatest Showman,Open Range,King Kong,Pride and Prejudice
50-55,Male,Executive/Managerial,Like,Neutral,Like,Like,Like,Like,Neutral,Neutral,Like,Like,Dislike,Neutral,Neutral,Dislike,Like,Neutral,Neutral,Neutral,Night and the City,Bridesmaids,The Godfather,Ratatouille,The 40-Year-Old Virgin
56+,Male,Scientist,Like,Neutral,Like,Like,Dislike,Neutral,Dislike,Neutral,Neutral,Like,Like,Neutral,Like,Like,Like,Like,Like,Like,The Lego Movie,Die Hard,District 9,The Matrix,Out of the Past
25-34,Male,Sales/Marketing,Like,Neutral,Neutral,Like,Dislike,Dislike,Neutral,Like,Dislike,Dislike,Neutral,Like,Neutral,Dislike,Neutral,Neutral,Dislike,Dislike,The Incredibles,The Greatest Showman,Die Hard,The Lego Movie,The Shawshank Redemption
56+,Male,Scientist,Neutral,Like,Like,Neutral,Like,Like,Like,Like,Neutral,Like,Like,Like,Dislike,Dislike,Like,Like,Neutral,Neutral,Shrek,Pulp Fiction,Ratatouille,Life of Pi,Inside Out
Under 18,Male,Artist,Like,Like,Neutral,Like,Neutral,Neutral,Dislike,Neutral,Like,Like,Dislike,Neutral,Dislike,Like,Dislike,Neutral,Neutral,Neutral,La La Land,Titanic,Bolt,Touch of Evil,Gilda
45-49,Female,Academic/Educator,Neutral,Like,Neutral,Like,Neutral,Neutral,Neutral,Dislike,Like,Like,Dislike,Neutral,Neutral,Dislike,Like,Like,Like,Like,King Kong,The Hateful Eight,Black Swan,Percy Jackson,The Lord of the Rings
50-55,Male,Clerical/Admin,Like,Like,Like,Dislike,Like,Like,Dislike,Dislike,Like,Like,Like,Like,Like,Neutral,Like,Dislike,Like,Dislike,Inception,Chicago,No Country for Old Men,John Wick,The Jungle Book
50-55,Male,Homemaker,Neutral,Like,Neutral,Like,Like,Like,Like,Like,Like,Dislike,Neutral,Like,Like,Like,Neutral,Like,Neutral,Neutral,500 Days of Summer,The Cove,No Country for Old Men,Silver Linings Playbook,Free Solo
Under 18,Male,Scientist,Neutral,Like,Neutral,Like,Neutral,Like,Like,Neutral,Neutral,Like,Neutral,Neutral,Neutral,Like,Like,Like,Dislike,Neutral,Black Swan,The Lord of the Rings,Pirates of the Caribbean,The Godfather,Inside Job
50-55,Male,Sales/Marketing,Neutral,Dislike,Like,Like,Like,Like,Neutral,Like,Like,Neutral,Dislike,Like,Dislike,Like,Like,Neutral,Like,Neutral,The Green Mile,The Pursuit of Happyness,The Chronicles of Narnia,Fury,Pulp Fiction
18-24,Male,K-12 Student,Neutral,Neutral,Neutral,Like,Like,Like,Like,Neutral,Like,Neutral,Neutral,Dislike,Like,Like,Like,Dislike,Like,Like,Shutter Island,Jiro Dreams of Sushi,Minority Report,Ex Machina,Notting Hill
56+,Male,Academic/Educator,Like,Like,Neutral,Neutral,Neutral,Like,Dislike,Like,Like,Neutral,Like,Neutral,Neutral,Dislike,Like,Dislike,Neutral,Like,The Conjuring,Skyfall,Terminator 2,Whiplash,Hereditary
Under 18,Female,Homemaker,Dislike,Like,Dislike,Dislike,Dislike,Neutral,Like,Neutral,Like,Like,Dislike,Dislike,Dislike,Like,Neutral,Dislike,Like,Neutral,The Cove,Willow,The Hobbit,Out of the Past,Gilda
45-49,Female,Executive/Managerial,Dislike,Like,Neutral,Neutral,Like,Like,Like,Like,Like,Like,Like,Like,Neutral,Neutral,Dislike,Dislike,Neutral,Neutral,Indiana Jones,Bridesmaids,National Treasure,Percy Jackson,Pan's Labyrinth
45-49,Female,Executive/Managerial,Neutral,Dislike,Dislike,Like,Dislike,Like,Dislike,Neutral,Neutral,Like,Neutral,Like,Like,Like,Like,Neutral,Like,Neutral,Pride and Prejudice,The Big Sleep,Chicago,Into the Woods,Laura
45-49,Male,Farmer,Dislike,Neutral,Neutral,Neutral,Neutral,Neutral,Like,Like,Like,Like,Dislike,Like,Like,Like,Dislike,Neutral,Like,Like,Gilda,Jiro Dreams of Sushi,Singin' in the Rain,Silver Linings Playbook,The Sound of Music
25-34,Male,Other,Dislike,Neutral,Like,Dislike,Neutral,Like,Like,Neutral,Like,Like,Dislike,Like,Neutral,Like,Dislike,Neutral,Neutral,Dislike,Chicago,Double Indemnity,Fantastic Beasts,The Golden Compass,Eragon
25-34,Female,Unemployed,Like,Like,Like,Like,Like,Neutral,Neutral,Like,Dislike,Neutral,Like,Like,Like,Neutral,Like,Neutral,Neutral,Neutral,Moonlight,Coco,The Lion King,Ice Age,Skyfall
18-24,Male,Customer Service,Like,Like,Dislike,Like,Like,Like,Like,Neutral,Neutral,Dislike,Dislike,Neutral,Neutral,Like,Like,Neutral,Like,Dislike,Letters from Iwo Jima,Seven,Mean Girls,Borat,Indiana Jones
25-34,Male,Farmer,Neutral,Dislike,Neutral,Neutral,Neutral,Dislike,Dislike,Neutral,Neutral,Neutral,Dislike,Like,Like,Like,Like,Like,Neutral,Neutral,Prisoners,The Notebook,Blade Runner 2049,The Silence of the Lambs,Edge of Tomorrow
25-34,Female,Other,Neutral,Like,Neutral,Neutral,Dislike,Dislike,Dislike,Dislike,Neutral,Like,Dislike,Neutral,Dislike,Like,Like,Dislike,Neutral,Like,3:10 to Yuma,The Matrix,Elysium,King Kong,Sunset Boulevard
25-34,Male,Self-Employed,Like,Neutral,Like,Like,Like,Neutral,Like,Like,Neutral,Like,Neutral,Neutral,Neutral,Neutral,Like,Like,Like,Like,Laura,Dumb and Dumber,The Maltese Falcon,Inside Out,Moana
Under 18,Female,Writer,Like,Neutral,Dislike,Dislike,Like,Like,Dislike,Neutral,Dislike,Like,Neutral,Dislike,Like,Like,Like,Dislike,Like,Dislike,Gilda,Napoleon Dynamite,Dunkirk,Dumb and Dumber,Gladiator
50-55,Male,Customer Service,Like,Dislike,Dislike,Neutral,Like,Neutral,Like,Dislike,Like,Dislike,Dislike,Like,Like,Like,Like,Like,Like,Dislike,The Greatest Showman,Inside Job,The Others,Gone Girl,Silver Linings Playbook
56+,Male,Artist,Like,Like,Like,Neutral,Like,Neutral,Neutral,Like,Dislike,Like,Dislike,Neutral,Neutral,Neutral,Like,Like,Like,Like,Bridesmaids,Laura,Platoon,3:10 to Yuma,The Third Man
45-49,Female,Lawyer,Like,Neutral,Neutral,Like,Dislike,Like,Like,Neutral,Like,Neutral,Dislike,Like,Like,Like,Dislike,Neutral,Neutral,Like,Pride and Prejudice,Knives Out,The Fault in Our Stars,Grease,Citizenfour
35-44,Female,Retired,Like,Neutral,Like,Dislike,Neutral,Like,Neutral,Neutral,Dislike,Like,Like,Like,Like,Neutral,Dislike,Dislike,Neutral,Like,Zootopia,Django Unchained,La La Land,The Dark Knight,Singin' in the Rain
Under 18,Female,Doctor/Health Care,Neutral,Neutral,Dislike,Neutral,Neutral,Dislike,Like,Neutral,Like,Like,Dislike,Neutral,Like,Like,Like,Dislike,Neutral,Neutral,Arrival,The Chronicles of Narnia,Sunset Boulevard,Dune,The Girl with the Dragon Tattoo
18-24,Female,Writer,Neutral,Neutral,Like,Like,Like,Like,Neutral,Dislike,Like,Dislike,Like,Neutral,Dislike,Neutral,Dislike,Like,Neutral,Neutral,The Exorcist,Hereditary,The Hobbit,Zootopia,Superbad
50-55,Female,Scientist,Like,Like,Neutral,Like,Neutral,Like,Neutral,Dislike,Like,Like,Neutral,Like,Dislike,Dislike,Like,Dislike,Neutral,Neutral,Arrival,Chicago,Eragon,Mamma Mia!,Despicable Me
45-49,Female,Scientist,Like,Like,Dislike,Like,Neutral,Like,Neutral,Like,Like,Dislike,Neutral,Like,Dislike,Like,Dislike,Like,Like,Like,Mamma Mia!,American Beauty,Despicable Me,American Sniper,A Beautiful Mind
56+,Male,Artist,Dislike,Neutral,Dislike,Like,Neutral,Dislike,Like,Like,Neutral,Like,Neutral,Dislike,Dislike,Neutral,Dislike,Like,Like,Like,A Beautiful Mind,Night and the City,American Sniper,Won’t You Be My Neighbor?,Moana
18-24,Female,K-12 Student,Neutral,Like,Like,Like,Like,Neutral,Like,Like,Dislike,Dislike,Dislike,Neutral,Neutral,Dislike,Dislike,Neutral,Neutral,Neutral,The King's Speech,Won’t You Be My Neighbor?,The Revenant,Cars,The Pursuit of Happyness
45-49,Female,Academic/Educator,Like,Neutral,Neutral,Like,Neutral,Like,Neutral,Dislike,Neutral,Dislike,Like,Like,Like,Like,Like,Like,Dislike,Neutral,La La Land,Brave,Gone Girl,The Girl on the Train,The Dark Knight
50-55,Male,Artist,Like,Like,Neutral,Like,Like,Like,Like,Like,Like,Like,Neutral,Like,Like,Neutral,Neutral,Like,Dislike,Neutral,Interstellar,The 40-Year-Old Virgin,Seven,Indiana Jones,Mean Girls
56+,Male,Tradesman/Craftsman,Neutral,Like,Dislike,Like,Like,Like,Neutral,Neutral,Like,Like,Neutral,Like,Neutral,Dislike,Like,Like,Dislike,Neutral,The Lego Movie,American Gangster,Sunset Boulevard,Gone Girl,Nightcrawler
Under 18,Male,K-12 Student,Like,Dislike,Like,Neutral,Like,Like,Dislike,Neutral,Dislike,Like,Dislike,Like,Neutral,Like,Dislike,Like,Like,Neutral,Dunkirk,The Big Sleep,Prisoners,Night and the City,Shrek
56+,Male,Scientist,Like,Neutral,Dislike,Like,Like,Dislike,Neutral,Dislike,Neutral,Neutral,Like,Neutral,Dislike,Dislike,Neutral,Like,Neutral,Like,Despicable Me,Tombstone,The Ring,Die Hard,The Avengers
18-24,Female,Executive/Managerial,Neutral,Like,Neutral,Like,Neutral,Like,Neutral,Like,Neutral,Like,Like,Neutral,Like,Dislike,Neutral,Neutral,Like,Like,Pulp Fiction,Minions,Sunset Boulevard,True Grit,Shutter Island
18-24,Male,K-12 Student,Neutral,Neutral,Like,Dislike,Neutral,Neutral,Like,Neutral,Like,Neutral,Neutral,Like,Neutral,Dislike,Like,Like,Neutral,Dislike,The Golden Compass,The Chronicles of Narnia,Ratatouille,Prisoners,Citizenfour
35-44,Male,K-12 Student,Like,Like,Like,Dislike,Like,Dislike,Like,Like,Dislike,Like,Neutral,Neutral,Dislike,Like,Like,Neutral,Like,Dislike,Pirates of the Caribbean,District 9,Avatar,Elysium,Laura
Under 18,Male,Sales/Marketing,Like,Dislike,Like,Dislike,Like,Like,Neutral,Neutral,Neutral,Neutral,Neutral,Like,Like,Like,Dislike,Dislike,Neutral,Neutral,Ratatouille,Up,Knives Out,Gone Girl,The Avengers
Under 18,Female,Tradesman/Craftsman,Like,Neutral,Like,Like,Neutral,Like,Like,Neutral,Like,Neutral,Neutral,Like,Like,Neutral,Neutral,Neutral,Neutral,Like,Grease,The Sound of Music,The Prestige,Despicable Me,Gone Girl
45-49,Female,K-12 Student,Dislike,Like,Like,Neutral,Dislike,Like,Dislike,Like,Neutral,Like,Neutral,Like,Like,Dislike,Like,Like,Dislike,Like,Les Misérables,Dune,Coco,King Kong,Edge of Tomorrow
56+,Female,Programmer,Like,Neutral,Dislike,Like,Like,Neutral,Dislike,Neutral,Neutral,Dislike,Like,Neutral,Like,Neutral,Like,Like,Neutral,Like,Paranormal Activity,Gladiator,The Girl on the Train,Dumb and Dumber,Oldboy
Under 18,Male,Retired,Neutral,Neutral,Like,Neutral,Neutral,Neutral,Dislike,Like,Like,Like,Like,Dislike,Like,Neutral,Neutral,Like,Like,Neutral,The Girl on the Train,A Beautiful Mind,American Beauty,The Conjuring,Gone Girl
18-24,Male,Sales/Marketing,Like,Dislike,Dislike,Like,Neutral,Neutral,Neutral,Neutral,Dislike,Like,Like,Like,Neutral,Dislike,Dislike,Like,Like,Dislike,Moana,The Avengers,The Big Sleep,Skyfall,Gladiator
56+,Male,Technician/Engineer,Like,Like,Neutral,Like,Like,Like,Like,Like,Neutral,Neutral,Like,Neutral,Like,Neutral,Like,Dislike,Neutral,Like,Arrival,Gone Girl,Hereditary,The Pursuit of Happyness,Avatar
35-44,Male,Self-Employed,Like,Like,Like,Like,Dislike,Neutral,Neutral,Neutral,Neutral,Like,Like,Like,Like,Like,Neutral,Neutral,Dislike,Dislike,Frozen,Silver Linings Playbook,The Sound of Music,Double Indemnity,Life of Pi
25-34,Male,Self-Employed,Like,Like,Like,Like,Dislike,Like,Dislike,Like,Neutral,Neutral,Like,Like,Neutral,Like,Like,Like,Like,Neutral,The Babadook,Fury,Hereditary,A Walk to Remember,La La Land
45-49,Male,Clerical/Admin,Neutral,Dislike,Like,Neutral,Neutral,Like,Dislike,Like,Neutral,Like,Dislike,Like,Dislike,Like,Like,Neutral,Neutral,Dislike,Zootopia,Looper,Edge of Tomorrow,Pulp Fiction,Mystic River
45-49,Male,Tradesman/Craftsman,Like,Like,Dislike,Like,Like,Like,Like,Like,Neutral,Like,Dislike,Neutral,Neutral,Neutral,Dislike,Neutral,Like,Neutral,The Third Man,The Godfather,Mean Girls,Seven,Terminator 2
56+,Female,Farmer,Neutral,Like,Like,Like,Like,Like,Neutral,Neutral,Like,Dislike,Like,Neutral,Like,Like,Neutral,Dislike,Neutral,Neutral,Zodiac,Heat,Minions,Pirates of the Caribbean,The Godfather
56+,Female,Retired,Dislike,Like,Like,Neutral,Neutral,Like,Dislike,Neutral,Like,Dislike,Like,Like,Neutral,Like,Neutral,Like,Like,Neutral,Memento,Fury,Chicago,Get Out,Letters from Iwo Jima
25-34,Male,Unemployed,Like,Neutral,Dislike,Like,Neutral,Neutral,Neutral,Dislike,Like,Dislike,Like,Like,Neutral,Dislike,Neutral,Like,Like,Dislike,The Exorcist,The Greatest Showman,Inception,Les Misérables,Platoon
25-34,Female,Technician/Engineer,Like,Neutral,Like,Like,Like,Neutral,Neutral,Neutral,Dislike,Neutral,Dislike,Like,Neutral,Like,Like,Like,Like,Dislike,La La Land,The Avengers,Inside Out,The Girl on the Train,Grease
18-24,Male,Executive/Managerial,Neutral,Neutral,Neutral,Neutral,Like,Neutral,Like,Like,Dislike,Like,Dislike,Neutral,Like,Like,Neutral,Like,Like,Like,Oldboy,Open Range,The Hateful Eight,Touch of Evil,Superbad
45-49,Male,Clerical/Admin,Dislike,Neutral,Like,Neutral,Like,Like,Dislike,Dislike,Like,Like,Like,Like,Dislike,Like,Like,Like,Like,Like,The Exorcist,Casino,Dumb and Dumber,Singin' in the Rain,Se7en
45-49,Female,Scientist,Neutral,Like,Neutral,Like,Like,Like,Dislike,Like,Dislike,Like,Dislike,Like,Neutral,Like,Dislike,Dislike,Neutral,Like,Touch of Evil,"The Good, the Bad and the Ugly",Anchorman,Titanic,Napoleon Dynamite
56+,Female,Unemployed,Neutral,Like,Like,Neutral,Neutral,Dislike,Like,Neutral,Like,Like,Neutral,Like,Dislike,Like,Like,Like,Neutral,Like,Singin' in the Rain,The Big Sleep,True Grit,Free Solo,"The Good, the Bad and the Ugly"
18-24,Male,Writer,Like,Like,Like,Like,Like,Neutral,Dislike,Dislike,Like,Like,Neutral,Like,Like,Neutral,Neutral,Like,Like,Neutral,The Dark Knight,Fantastic Beasts,Letters from Iwo Jima,Chicago,Shrek
56+,Female,Doctor/Health Care,Neutral,Dislike,Like,Like,Like,Like,Like,Neutral,Dislike,Like,Dislike,Dislike,Dislike,Like,Like,Like,Like,Like,Casino,1917,Before Sunrise,The Silence of the Lambs,The Big Sleep
45-49,Male,Doctor/Health Care,Like,Like,Like,Like,Like,Neutral,Like,Like,Neutral,Like,Neutral,Neutral,Dislike,Neutral,Neutral,Like,Like,Like,The Shawshank Redemption,Mad Max: Fury Road,Fahrenheit 9/11,The Jungle Book,Die Hard
50-55,Male,Technician/Engineer,Dislike,Dislike,Like,Neutral,Like,Dislike,Like,Like,Dislike,Neutral,Like,Neutral,Like,Like,Like,Like,Like,Like,La La Land,A Walk to Remember,The Green Mile,Dumb and Dumber,The Shawshank Redemption
56+,Female,K-12 Student,Like,Neutral,Like,Dislike,Like,Dislike,Dislike,Like,Dislike,Dislike,Like,Neutral,Like,Like,Neutral,Dislike,Like,Dislike,Moonlight,The Babadook,The Ring,Napoleon Dynamite,The Notebook
45-49,Female,Academic/Educator,Dislike,Like,Like,Like,Neutral,Dislike,Like,Like,Neutral,Dislike,Like,Neutral,Dislike,Neutral,Like,Dislike,Like,Like,National Treasure,Fahrenheit 9/11,Brave,Full Metal Jacket,Bolt
45-49,Female,Executive/Managerial,Dislike,Like,Dislike,Neutral,Like,Like,Neutral,Dislike,Dislike,Dislike,Dislike,Like,Like,Neutral,Like,Like,Like,Neutral,The 40-Year-Old Virgin,Se7en,Elysium,Life of Pi,Fury
56+,Female,Other,Like,Like,Like,Dislike,Like,Like,Like,Like,Like,Like,Like,Like,Neutral,Neutral,Neutral,Neutral,Like,Like,Terminator 2,Mad Max: Fury Road,Avatar,Dumb and Dumber,The Babadook
25-34,Male,Unemployed,Like,Like,Dislike,Neutral,Like,Neutral,Neutral,Neutral,Like,Like,Dislike,Neutral,Dislike,Dislike,Like,Like,Neutral,Like,Terminator 2,Edge of Tomorrow,Out of the Past,Prisoners,Mad Max: Fury Road
56+,Male,Clerical/Admin,Like,Neutral,Like,Like,Neutral,Dislike,Neutral,Like,Like,Like,Neutral,Neutral,Like,Like,Like,Like,Like,Neutral,500 Days of Summer,The Girl on the Train,Looper,The Girl with the Dragon Tattoo,Blade Runner 2049
18-24,Male,Customer Service,Neutral,Like,Neutral,Like,Neutral,Dislike,Like,Dislike,Neutral,Like,Like,Like,Like,Neutral,Like,Dislike,Like,Dislike,Get Out,The Jungle Book,Life of Pi,La La Land,The Blair Witch Project
50-55,Male,Academic/Educator,Like,Like,Like,Neutral,Like,Like,Neutral,Neutral,Neutral,Like,Neutral,Like,Dislike,Like,Neutral,Dislike,Like,Dislike,The Godfather,Chicago,Casino,Sunset Boulevard,La La Land
Under 18,Female,Sales/Marketing,Dislike,Neutral,Like,Like,Like,Neutral,Dislike,Like,Neutral,Neutral,Neutral,Like,Like,Like,Like,Neutral,Like,Like,Singin' in the Rain,Hacksaw Ridge,Cars,Notting Hill,Knives Out
25-34,Male,Farmer,Like,Like,Like,Like,Like,Like,Dislike,Dislike,Like,Like,Like,Dislike,Like,Neutral,Like,Neutral,Dislike,Neutral,Mystic River,Ice Age,Gilda,Finding Nemo,Laura
50-55,Male,Unemployed,Dislike,Like,Like,Like,Neutral,Like,Dislike,Neutral,Neutral,Like,Like,Dislike,Neutral,Like,Like,Dislike,Neutral,Like,The Blair Witch Project,Life of Pi,Sunset Boulevard,Moana,Edge of Tomorrow
50-55,Female,Unemployed,Like,Like,Neutral,Like,Like,Neutral,Like,Neutral,Dislike,Like,Neutral,Dislike,Like,Like,Dislike,Neutral,Like,Dislike,Hacksaw Ridge,Cars,Titanic,Zodiac,Mad Max: Fury Road
45-49,Female,Unemployed,Like,Dislike,Dislike,Like,Neutral,Like,Like,Like,Like,Like,Neutral,Like,Like,Like,Like,Like,Like,Like,The Golden Compass,The Sound of Music,Fantastic Beasts,Before Sunrise,Laura
